source,target,weight,edge_count,type,distance
ireland,library_cologne,0.5,1,primary_movement,2.0
ireland,library_columbia,0.3333333333333333,1,primary_movement,3.0
ireland,library_dublin_museum,2.0,2,primary_movement,0.5
ireland,library_dublin_ria,3.0,3,primary_movement,0.3333333333333333
ireland,library_dublin_tcd,3.0,3,primary_movement,0.3333333333333333
ireland,library_durham,0.25,1,primary_movement,4.0
ireland,library_dusseldorf,0.3333333333333333,1,primary_movement,3.0
ireland,library_fulda,0.5,1,primary_movement,2.0
ireland,library_ghent,1.0,1,primary_movement,1.0
ireland,library_harvard,1.0,1,primary_movement,1.0
ireland,library_karlsruhe,1.0,1,primary_movement,1.0
ireland,library_kues,0.5,1,primary_movement,2.0
ireland,library_laon,1.5,2,primary_movement,0.6666666666666666
ireland,library_leiden,2.0,2,primary_movement,0.5
ireland,library_leuven,1.0,1,primary_movement,1.0
ireland,library_london_bl,3.0,3,primary_movement,0.3333333333333333
ireland,library_london_getty,1.0,1,primary_movement,1.0
ireland,library_milan,2.5,3,primary_movement,0.4
ireland,library_nancy,0.5,1,primary_movement,2.0
ireland,library_oxford_bodleian,2.0,2,primary_movement,0.5
ireland,library_paris_bnf,4.833333333333333,6,primary_movement,0.20689655172413796
ireland,library_saint-omer,0.5,1,primary_movement,2.0
ireland,library_schaffhausen,2.0,2,primary_movement,0.5
ireland,library_trier,1.0,1,primary_movement,1.0
ireland,library_turin,2.0,2,primary_movement,0.5
ireland,library_vatican,0.5,1,primary_movement,2.0
ireland,library_vienna,1.0,1,primary_movement,1.0
ireland,library_warminster,1.0,1,primary_movement,1.0
ireland,library_werden,0.3333333333333333,1,primary_movement,3.0
ireland,library_wurzburg,3.0,3,primary_movement,0.3333333333333333
ireland,library_zurich,2.0,2,primary_movement,0.5
ireland,lorsch,0.25,1,primary_movement,4.0
ireland,regensburg,1.0,1,primary_movement,1.0
ireland,reichenau,20.5,22,primary_movement,0.04878048780487805
ireland,roscrea,1.0,1,place_hierarchy,1.0
ireland,rouen,1.0,1,primary_movement,1.0
ireland,st-gall,11.0,11,primary_movement,0.09090909090909091
ireland,tallaght,1.0,1,place_hierarchy,1.0
ireland,wurzburg,2.0,2,primary_movement,0.5
italy,bobbio,1.0,1,place_hierarchy,1.0
