Node,Label,Type,In-strength,Out-strength,Total strength,Degree centrality,Betweenness centrality,Closeness centrality,Eigenvector centrality,PageRank
augsburg,Augsburg,place,1.0,2.0,3.0,0.02459016393442623,6.774149844194554e-05,0.4214912765154329,0.002965326113833538,0.005979206490464308
trier,Trier,place,2.0,1.0,3.0,0.03278688524590164,0.0006096734859775099,0.317330315534059,0.00960724226173949,0.007259991780563477
birr,Birr,place,1.0,1.0,2.0,0.01639344262295082,0.0,0.41337177074615755,0.013354958159072772,0.005801659130554425
laon,Laon,place,11.0,13.333333333333334,24.333333333333336,0.06557377049180328,0.003116108928329495,0.5477572900073981,0.02852595688874319,0.011641204654971257
lorsch,Lorsch,place,2.5,1.5,4.0,0.04098360655737705,6.774149844194554e-05,0.365510985014329,0.005483674099719942,0.006561783429372806
verdun,Verdun,place,1.5,2.0,3.5,0.02459016393442623,6.774149844194554e-05,0.4336548131144332,0.0022620378309327976,0.005915753333221389
northumbria,Northumbria,place,1.0,4.5,5.5,0.04918032786885246,0.0003387074922097277,0.3817925028800032,0.001703895823145578,0.006669590029413834
wales,Wales,place,0.0,2.5,2.5,0.02459016393442623,0.0,0.23343302626107637,9.217832170646561e-05,0.005752761615125726
soissons,Soissons,place,1.0,6.999999999999999,7.999999999999999,0.07377049180327869,0.00013548299688389108,0.5221712514898199,0.03534957743035554,0.005861422760522835
fulda,Fulda,place,3.0,4.5,7.5,0.04918032786885246,0.0006096734859775099,0.5382335474490326,0.02697213483458493,0.006077001521321707
deer,Deer,place,1.0,1.0,2.0,0.01639344262295082,6.774149844194554e-05,0.4212214912830766,0.012688335126748855,0.005801659130554425
lyon,Lyon,place,2.0,2.5,4.5,0.03278688524590164,6.774149844194554e-05,0.4654398894712306,0.00407412956391218,0.005970083905919944
mainz,Mainz,place,2.0,2.5,4.5,0.03278688524590164,0.0004741904890936188,0.4095689042160352,0.0038555565371813294,0.006205651365802891
st-gall,St Gall,place,15.0,19.333333333333332,34.33333333333333,0.09016393442622951,0.003929006909632842,0.6617924973692717,0.17789597380785704,0.008692494909441722
italy,Italy,place,0.0,14.333333333333334,14.333333333333334,0.12295081967213116,0.0,0.4686521946387966,0.011895020690945364,0.005752761615125726
fussen,Füssen,place,2.0,1.0,3.0,0.02459016393442623,0.00027096599376778217,0.32341108036495414,0.001164134366508543,0.00852033624212106
fleury,Fleury,place,1.5,4.0,5.5,0.04918032786885246,0.00027096599376778217,0.38702708400168323,0.003382641058745514,0.0068578491896929975
cambrai,Cambrai,place,1.0,0.5,1.5,0.01639344262295082,3.387074922097277e-05,0.3786901927968522,0.0015018509751549983,0.005861422760522835
strasbourg,Strasbourg,place,2.6666666666666665,3.0,5.666666666666666,0.04918032786885246,0.0015580544641647476,0.4333215043743865,0.005433677247022361,0.0064436781872367664
